obs_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
"=""714.9012""","=""1000""","=""6.3e+05""",B,"=""11.54835442""","=""13.28263902""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""",5,3,,
"=""720.8966""","=""70""","=""2.48e+06""",C,"=""13.30222747""","=""15.02208834""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",5,3,,
"=""727.4940""","=""2000""","=""1.83e+06""",B+,"=""11.62359272""","=""13.32785705""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""",3,3,,
"=""731.3731""","=""35""","=""1.7e+06""",D+,"=""13.15314387""","=""14.84836899""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""",3,3,,
"=""735.5319""","=""70""","=""9.6e+05""",D+,"=""13.09487256""","=""14.780512""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""3""",5,7,,
"=""737.4149""","=""200""","=""1.9e+06""",D+,"=""13.07571571""","=""14.7570516""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""4""",7,9,,
"=""738.6014""","=""10000""","=""8.5e+06""",B,"=""11.62359272""","=""13.30222747""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""",3,5,,
"=""750.5935""","=""20000""","=""4.5e+07""",B,"=""11.82807116""","=""13.47988682""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""0""",3,1,,
"=""751.6721""","=""15000""","=""4.0e+07""",B,"=""11.62359272""","=""13.27303810""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""",3,1,,
"=""763.7208""","=""25000""","=""2.45e+07""",B,"=""11.54835442""","=""13.17177770""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""",5,5,,
